username,name,blitz_rating,time_control
knighthunter2026,Vidip Kona,2836,3+0
knightoclock,Austin Tang,2560,3+0
komaromy31,Gabriel Ewing,1753,3+0
kowarenai,Brayan Angel Amaya,2809,3+0
kranga,Karthik Rangarajan,2508,3+2
kripri,Krishna Nathan,2650,3+0
krivonosovfan,,2191,3+0
kunj_1,Zuko Ninja,2260,3+2
kurtschneider,Kurt Schneider,2245,3+0
kxt100,Kushan Tyagi,2278,3+2
kyiv-1,Ivan Martynenko,2411,3+0
kylelancman,Kyle Lancman,2634,3+0
kylemorrison64,Kyle Morrison,2159,3+2
kz28am,,2339,3+0
lalu,Arun Sharma,2507,5+0
lazarusicarus,,2351,3+0
lcmil,Luke Miller,2305,3+0
ldm05,David Lane,2001,5+0
le_joueur17,Aldiyar Zhandaulet,2252,3+0
legbreaker,Edward McHugh,2432,3+2
lemontree616,,2433,3+0
lenadil,Dennis Gogel,2215,5+0
leonardol2005,Leonardo Liu,2357,3+0
lessler-sea,Peter Lessler,2033,3+0
levitating_bishop34,Alexander Rutten,2225,3+0
lewiseisen,Lewis Eisen,2614,3+0
limingyi,,2111,3+2
literally_i_drive,Vladyslav Khil,2805,3+0
llamalord42,Walker Griggs,2458,3+2
lmhometeam,Harley Greninger,2209,5+0
logoczar,Elijah Logozar,2366,3+0
lord_neezy,James Neal,2330,3+0
lotusblooms2,,2402,5+0
lschess,Logan Clark Shafer,2784,3+0
lshaped,,1657,3+2
lukekuechly_59,Chris Ping Liu,1972,3+0
m0usesiip,Otis Wilson,2307,300+5
maakasu,Marcus Zheng,2428,3+0
macdaddymac,Sully McConnell,2815,3+0
mackus,Mark Bohannon,2026,3+2
mactep-i,Josif Feigelson,2417,3+0
mactrazz,Bohdan Lozynskyi,2703,3+2
madeforjesus,,2671,3+0
madmagister,Elton Cao,2210,5+0
magical_octopus,Ivan Zhou,2273,3+0
magiclydonkey,Joe Marcal,1726,3+0
magnusmystery,,2488,3+2
mangyou,Matthew K Ng,2008,180+1
maniaconthedanceflo,Unknown,2385,3+0
marcusaurelius424,Michael Lucas,1589,5+2
marius01,Richard Beale,2332,5+0
marketmoover,Shyam Gandhi,2279,3+2
marks1420,Mark DeDona,2467,10
marshknight,Nicholas DesMarais,2505,3+0
martiniirichard,Richard Martin III,2111,3+2
marvelanddcforlife,,2510,3+0
mashenka97,Mariia Bortnyk,2334,5+2
master_of_math,,2232,3+2
mastervince2244,Vincent Rancour,1727,5+0
mastervlad8,Vlad Yanovsky,2100,3+0
matein28,Damir Studen,2708,3+0
mateschmate,Joshua Grabinsky,2650,3+0
matetricks,Andrew Ng,2518,3+2
matt2master,,2502,5+0
matthew-fishbein,Matthew Fishbein,2497,3+0
matthewvt,Matthew Tikhomirov,2627,3+0
matzo,Cornelius Rubsamen,2204,5+0
maxz1996,Max Zinski,2185,3+2
mayo_neighs,Braeden Hart,2577,3+0
mbmaster,Mika Brattain,2476,3+0
mcbaddie,,2468,3+0
mcorallo,Michael Corallo,2305,3+0
meaniebub,,2254,3+2
meatschool247,,2109,3+0
mediumpompano,Lyubomir Gospodinov,2497,5+0
meekinskris,Kris Meekins,2240,3+0
meeper011,,2534,3+2
megachargerex,,2397,3+0
megaman80,Carlos Magnussen,2581,3+0
megamanmusic,Joshua Gutman,2323,3+0
megamarble,Benjamin Frenkel,2096,3+0
meishijian,,2302,5+0
metalratel,James Richardson,1906,3+0
michaelbjordanlover,,2244,3+0
michaelpat000,Michael Patrick Buyer,2398,3+0
michaeltilt,Michael Li,2381,5+0
microbear,Eric Hon,2332,3+0
